	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
academics	0.01620377363645581	0.012868019205423312	0.008771938323648459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01236787550440798	
academisation	0.014259320800081111	0.011914832597614177	0.017543876647296917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016232836599535474	
academy	0.003680439446655627	0.004209756541008413	0.001844825628294515	0.0	0.0	0.0	0.0	0.005213736894225831	0.0	0.0033058381177092167	0.0	0.0024385189513120597	
academyawards	0.050555773745742126	0.04098702413579278	0.055555609383106906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03246567319907095	
academynet	0.007231033677332805	0.006836229451899627	0.007766927470999726	0.0	6.126769921793156E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.004927893335655797	
academypresents	0.0038889056727493946	0.007148899558568506	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007729922190254987	
acadian	0.004537056618207627	0.005719119646854806	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
acadie	0.03046309443653692	0.02954878484208316	0.03606241310833255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01777882103758647	
acadiemetis	0.0019444528363746973	0.004289339735141104	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.729922190254987E-4	
acadien	0.06740769832765617	0.08864635452624947	0.0769981252853587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08271016743572837	
acadienb	0.007129660400040556	0.0066723062546639395	0.007797278509909741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008502914409280485	
acadienmetis	0.007129660400040556	0.0066723062546639395	0.0038986392549548703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038649610951274936	
acadienouvelle	0.005833358509124091	0.007625492862473073	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00618393775220399	
acadiens	0.005185207563665859	0.007625492862473073	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009275906628305986	
acadierock	0.003240754727291162	0.004289339735141104	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
acadieson	0.017500075527372275	0.023353071891323785	0.025341155157206658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014686852161484475	
acc	0.012912560138094295	0.011773506278271579	0.017087240436199396	0.0	0.0014295796484184028	0.0	0.0	0.0	0.0	0.0	0.0	0.017247626674795288	
accelerates	0.0025926037818329293	0.0033361531273319697	0.0029239794412161528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015459844380509974	
accent	0.003240754727291162	0.0019063732156182683	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003091968876101995	
accents	0.014259320800081111	0.018587138852278116	0.015594557019819481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01700582881856097	
accept	0.002453626297770418	9.020906873589456E-4	0.0012298837521963434	0.0	0.0	0.0	0.0	6.256484273070997E-4	0.0	0.0021037151658149563	0.0	9.754075805248238E-4	
acceptable	0.0028625640140654877	0.001503484478931576	0.00368965125658903	0.0	0.0	0.0	0.0	6.256484273070997E-4	0.0	0.0012021229518942606	0.0	0.0019508151610496476	
acceptance	0.002582512027618859	0.004177695776160883	0.002330078241299918	0.0	8.169026562390874E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.005543880002612771	
accepted	0.0019444528363746973	0.002859559823427403	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
accepting	0.002044688581475348	3.006968957863152E-4	0.0024597675043926868	0.0	0.0046891392905671556	0.0	0.0	0.0	0.005128284444114961	0.0	0.0	4.877037902624119E-4	
accepts	0.0	0.0015545803993817645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012606960092879105	
access	4.0893771629506965E-4	9.020906873589456E-4	0.001844825628294515	0.0	0.02603280778556248	0.0	0.0	0.0	0.018803709628421525	0.0	0.0	9.754075805248238E-4	
accessibility	0.0	0.0	0.0	0.0	0.010449352781701985	0.0	0.0	0.0	0.013256422981068815	0.0	0.0	0.0	
accessibilitycant	0.0012963018909164647	0.0019063732156182683	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015459844380509974	
accessible	0.01185919377255702	0.010223694456734718	0.014143663150257947	0.0	0.0038806669990900594	0.0	0.0	0.0	0.006837712592153282	0.0	0.0	0.015606521288397181	
accessnowapp	0.0	0.0	0.0	0.0	0.013375171560578538	0.0	0.0	0.0	0.013256422981068815	0.0	0.0	0.0	
accessorize	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002085494757690332	0.0	0.003606368855682782	0.0062418872490233295	0.0	
accessryerson	0.0	0.0	0.0	0.0	0.02758629134369324	0.0	0.0	0.0	0.013256422981068815	0.0	0.0	0.0	
accesstojustice	0.07129660400040556	0.07291877549739877	0.07894744491283612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0664773308361929	
accident	4.0893771629506965E-4	0.001503484478931576	0.001844825628294515	0.0	0.0	0.0	0.0	0.0016683958061522656	0.0	9.015922139206955E-4	0.0	4.877037902624119E-4	
accidental	0.003240754727291162	0.0014297799117137014	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003091968876101995	
