only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo
3.18E-04	0.001402945	0.00143455	0	0	0	0	0.001135188	0	9.35E-04	0.002426869	0.001137726
6.48E-04	0	0.00194932	0	0	0	0	3.31E-04	0	0	0	0.001545984
0.003240755	9.53E-04	0.003898639	0	0	0	0	0	0	0	0	0.003091969
6.48E-04	0.00142978	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0.002932053	0	0	0	0	0	0	0	0	0	0	0
3.18E-04	9.35E-04	0	0	5.03E-04	0	0	9.73E-04	0.001329264	7.01E-04	0.002426869	0
0	0	0	0	0.005015689	0	0	0	0.004418808	0	0	0
0.001635751	0.001202788	0	0	9.70E-04	0	0	0	0	0	0	0
0	7.77E-04	0	0	0	0	0	0	0	0	0	0.001260696
0.003240755	0.003812746	9.75E-04	0	0	0	0	0	0	0	0	0.002318977
0.001296302	0.001906373	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0.001296302	0.00142978	0.00194932	0	0	0	0	0	0	0	0	0.001545984
0.002592604	0.002382967	0.002923979	0	0	0	0	0	0	0	0	0.003864961
0	0	0	0	0	0	0	0.002990568	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.0034968
0.002592604	0.00428934	0.003898639	0	0	0	0	0	0	0	0	0.005410946
0.006677854	0.005377956	0.011476403	0	0	0	0	4.87E-04	0.001329264	4.67E-04	0	0.004171664
0.003240755	0.00571912	0.003898639	0	0	0	0	0	0	0	0	0.003864961
8.18E-04	0.001804181	0	0	0	0	0	0	0	0	0	9.75E-04
0.002114177	0.00155458	0	0	0	0	0	0	0	0	0	0
0	7.77E-04	0	0	0	0	0	0	0	0	0	0.001260696
0.001466026	0	0	0	0	0	0	0	0	0	0	0
0.001944453	0.00142978	0.003898639	0	0	0	0	0	0	0	0	0.002318977
8.18E-04	6.01E-04	0	0	0	0	0	0	0	0	0	9.75E-04
0	0	0	0	0.00405768	0	0	0	0	0	0	0
0.002592604	0.001906373	0.003898639	0	0	0	0	0	0	0	0	0.002318977
8.49E-04	0.001123204	5.10E-04	0	0.001677732	0	0	8.66E-04	0.001418954	9.98E-04	0.001295309	6.07E-04
0	0	0	0	5.80E-04	0	0	0	0	0	0	0
0.001296302	9.53E-04	0.00194932	0	0	0	0	0	0	0	0	0.003091969
0.001944453	4.77E-04	0.003898639	0	0	0	0	0	0	4.76E-04	0	0
0.001057089	0	0	0	0	0	0	0	0	0	0	0.001260696
0.001944453	4.77E-04	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
