	Nounnno	styleofthesix	AHKru	shawnaoh_	RyersonU	Simon_Pella	RowanMMolloy	MacSweeneyG	SallySan_x	ATMXO_	
celebrating	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
central	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
centre	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0	0.09036328599977039	0.0	
ceo	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
ceremony	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
challenge	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
championing	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
championship	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
championships	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
chance	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
chances	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0	0.0	0.017993058568447896	
change	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0521311527458446	0.0	0.0	
changes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
character	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
charged	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
check	0.0	0.1464980913126429	0.0	0.0	0.05453864761938869	0.0	0.0	0.0	0.0	0.04038022159604503	
checks	0.0	0.0	0.0	0.0	0.0	0.12931164153503685	0.0	0.0	0.0	0.0	
child	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
children	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
chloe	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
chooseand	0.0	0.0	0.0	0.0	0.0	0.0	0.07083470029648137	0.0	0.0	0.0	
christian	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
ciara	0.0	0.0	0.0	0.0	0.0	0.12931164153503685	0.0	0.0	0.0	0.0	
cis	0.0	0.0	0.0	0.0	0.06953638628671382	0.0	0.0	0.0	0.0	0.0	
cisbball	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
city	0.0	0.0	0.0	0.0	0.027269323809694344	0.0	0.0	0.03899777038881467	0.06759809621280116	0.0	
citybuilding	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cityhall	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
clarke	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
class	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25856126998070633	0.0	
clean	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0521311527458446	0.0	0.017993058568447896	
climate	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
clinic	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
clock	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
close	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
closet	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cloud	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
club	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05148449420384003	
cmaconthehill	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2983312727152931	0.0	0.0	
coach	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
codithias	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cold	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
collection	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
college	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
colours	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
coming	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0	0.0	0.017993058568447896	
community	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
compared	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
competencies	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
competition	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
complete	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05148449420384003	
conditions	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
conference	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
congrats	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
congratulate	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
congratulations	0.0	0.0	0.0	0.0	0.22599325543181994	0.0	0.0	0.0	0.0	0.0	
connect	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
connected	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
consider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
considering	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
constitutional	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
construction	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cont	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
contribution	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
cool	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
cooley	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cops	0.0	0.0	0.0	0.0	0.0	0.12931164153503685	0.0	0.0	0.0	0.0	
correct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
cosmic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
course	0.0	0.0	0.0	0.0	0.00908977460323145	0.0	0.0	0.03899777038881467	0.0	0.013460073865348343	
coverage	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cpu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
crash	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
craziest	0.0	0.0	0.0	0.0	0.0	0.12931164153503685	0.0	0.0	0.0	0.0	
cried	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
croissant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25856126998070633	0.0	
crucial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
cry	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
crying	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05148449420384003	
cselley	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
cup	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
curious	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
current	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
currently	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
cut	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
cute	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12928063499035317	0.0	
cuter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
dailysexsupply	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
dance	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
dancefloor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
danceoff	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
dannymcbride	0.0	0.0	0.2040112650985448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dark	0.0	0.0	0.0	0.0	0.012150962056083858	0.0	0.0	0.0	0.0	0.017993058568447896	
dat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05148449420384003	
dates	0.0	0.0	0.0	0.0	0.0	0.0	0.5666776023718509	0.0	0.0	0.0	
david	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
davidakin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14916563635764654	0.0	0.0	
